"id","subject","preheader","essay_words_excluding_course_section","prospect_html","customer_html","workflow"
"01-promotion-politics","It felt like politics cost you the promotion","An unfair decision and an unclear case can exist in the same room.","1017","newsletters/prospects/01-promotion-politics.html","newsletters/customers/01-promotion-politics.html","W03"
"02-ai-and-your-role","AI can do part of your job. That changes the job.","The useful question sits inside the work, beyond the fear of the tool.","1028","newsletters/prospects/02-ai-and-your-role.html","newsletters/customers/02-ai-and-your-role.html","W03"
"03-equally-qualified","Everyone applying for the role looks qualified","A strong CV can leave the most important part of the choice unresolved.","1015","newsletters/prospects/03-equally-qualified.html","newsletters/customers/03-equally-qualified.html","W03"
"04-working-less","The colleague who works less and gets promoted faster","Hours are visible. Some useful decisions are much harder to see.","1062","newsletters/prospects/04-working-less.html","newsletters/customers/04-working-less.html","W03"
"05-too-good-to-move","Being indispensable can make a promotion complicated","The team depends on you. That can become part of the problem.","1060","newsletters/prospects/05-too-good-to-move.html","newsletters/customers/05-too-good-to-move.html","W03"
"06-good-work-should-speak","Good work can stay quiet for a very long time","Explaining a contribution can feel uncomfortably close to showing off.","1058","newsletters/prospects/06-good-work-should-speak.html","newsletters/customers/06-good-work-should-speak.html","W03"
"07-always-saying-yes","Saying yes has started to cost you","The habit that made you dependable can leave every priority undecided.","1033","newsletters/prospects/07-always-saying-yes.html","newsletters/customers/07-always-saying-yes.html","W03"
"08-waiting-for-certainty","You can be thorough and still leave the decision undone","Research becomes less useful when nobody knows what it would change.","1022","newsletters/prospects/08-waiting-for-certainty.html","newsletters/customers/08-waiting-for-certainty.html","W03"
"09-being-right","Being right did not get the decision changed","A disagreement can fail even when the concern behind it is sound.","1043","newsletters/prospects/09-being-right.html","newsletters/customers/09-being-right.html","W03"
"10-manager-keeps-checking","Your manager keeps asking for updates","The work may be under control while the information about it is not.","1034","newsletters/prospects/10-manager-keeps-checking.html","newsletters/customers/10-manager-keeps-checking.html","W03"
"11-be-more-strategic","“Be more strategic” is difficult feedback to use","The missing explanation is usually about which decisions should change.","1052","newsletters/prospects/11-be-more-strategic.html","newsletters/customers/11-be-more-strategic.html","W03"
"12-promotion-without-more-hours","A better-paid role can become another version of the same trap","Earning power matters partly because of the choices it can make possible.","1063","newsletters/prospects/12-promotion-without-more-hours.html","newsletters/customers/12-promotion-without-more-hours.html","W03"
"A01-newsletter-welcome","The Optional Career starts with earning power","A weekly essay about the work behind a larger role.","","automation-emails/A01-newsletter-welcome.html","","W01"
"R01-judgment-results","Your Senior-Level Judgment results","Your report includes an explanation of your choices.","","automation-emails/R01-judgment-results.html","","W02"
"R02-visibility-results","Your Leadership Visibility results","Your report explains how your updates can be understood.","","automation-emails/R02-visibility-results.html","","W02"
"A02-judgment-introduction","The recommendation inside your test result","A useful decision can include what remains uncertain.","","automation-emails/A02-judgment-introduction.html","","W01"
"A03-visibility-introduction","The difference between completed and understood","The explanation your manager can carry into another room.","","automation-emails/A03-visibility-introduction.html","","W01"
"C01-course-invitation","A six-week structure for the work in these letters","The course brings the practice into one sequence.","","automation-emails/C01-course-invitation.html","","Campaign"
"C02-cohort-announcement","The December six-week Step Up cohort","The curriculum, with scheduled live sessions.","","automation-emails/C02-cohort-announcement.html","","Campaign"
"C03-cohort-format","The course and cohort cover the same curriculum","The format changes how the practice fits into a week.","","automation-emails/C03-cohort-format.html","","Campaign"
"C04-cohort-for-course-buyers","The live format for the curriculum you already own","A note for course customers who requested cohort information.","","automation-emails/C04-cohort-for-course-buyers.html","","Campaign"
"B01-course-onboarding","Your Step Up course access","The course is organised into six weeks.","","automation-emails/B01-course-onboarding.html","","W04/W05"
"B02-cohort-onboarding","Your December Step Up cohort place","Dates and access information for the live programme.","","automation-emails/B02-cohort-onboarding.html","","W04/W05"
"B03-course-first-week","The first week starts with a completed assignment","The practice uses work you can describe accurately.","","automation-emails/B03-course-first-week.html","","W04/W05"
